carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
British Airways,GATWICK,ARRECIFE,1,32,0,2.0,0.0625,0.0,40.0
easyJet,BELFAST INTERNATIONAL,PALMA DE MALLORCA,7,61,2,3.7419352500000005,0.061343200819672136,0.031746031746031744,50.52459016393443
Ryanair,BELFAST INTERNATIONAL,MANCHESTER,1,46,3,2.81632654,0.06122449,0.061224489795918366,41.0
easyJet,GATWICK,ENFIDHA - HAMMAMET INTL,8,49,0,3.00000001,0.06122449,0.0,37.0
Ryanair,MANCHESTER,BELFAST INTERNATIONAL,1,46,3,2.81632654,0.06122449,0.061224489795918366,43.0
British Airways,GATWICK,MALAGA,7,82,1,5.00000002,0.06097561,0.012048192771084338,44.0
Air Canada,HEATHROW,MONTREAL (DORVAL),3,32,1,1.93939392,0.06060606,0.030303030303030304,23.0
Loganair Ltd,ABERDEEN,MANCHESTER,11,29,4,1.75757574,0.06060606,0.12121212121212122,39.0
Ryanair,BRISTOL,KRAKOW,1,33,0,1.9999999800000001,0.06060606,0.0,44.0
Ryanair,STANSTED,PALERMO,7,32,0,1.93939392,0.06060606,0.0,46.0
Ryanair,BIRMINGHAM,KRAKOW,1,33,0,1.9999999800000001,0.06060606,0.0,48.0
British Airways,LONDON CITY,MALAGA,10,33,0,1.9999999800000001,0.06060606,0.0,41.0
easyJet,GATWICK,LISBON,12,81,12,4.879517760000001,0.06024096000000001,0.12903225806451613,39.0
Air India,HEATHROW,DELHI,6,96,4,5.76,0.06,0.04,57.0
Jet2.com,STANSTED,MAHON,7,34,0,2.0000000200000003,0.05882353000000001,0.0,41.0
Ryanair,LUTON,IRELAND WEST(KNOCK),1,34,0,2.0000000200000003,0.05882353000000001,0.0,35.0
Loganair Ltd,GLASGOW,KIRKWALL,6,34,0,2.0000000200000003,0.05882353000000001,0.0,18.0
easyJet,MANCHESTER,HURGHADA,1,31,3,1.8235294300000002,0.058823530000000006,0.08823529411764706,42.0
easyJet,LUTON,GENEVA,9,34,0,1.9999999800000001,0.05882352882352942,0.0,40.88235294117647
Ryanair,LIVERPOOL (JOHN LENNON),IRELAND WEST(KNOCK),1,33,1,1.9411761600000002,0.058823520000000004,0.029411764705882353,50.0
Wizz Air,LUTON,TIRANA,5,102,1,5.94174786,0.05825243,0.009708737864077669,31.0
Loganair Ltd,ABERDEEN,SUMBURGH,1,62,7,3.5942026200000003,0.05797101,0.10144927536231885,39.0
Jet2.com,EAST MIDLANDS INTERNATIONAL,ALICANTE,10,35,0,2.0000001000000003,0.05714286000000001,0.0,24.0
easyJet,GATWICK,BIARRITZ,7,35,0,2.0000001000000003,0.05714286000000001,0.0,26.0
British Airways,HEATHROW,OLBIA,7,35,0,2.0000001000000003,0.05714286000000001,0.0,67.0
British Airways,GATWICK,NICE,7,53,6,2.9999998100000003,0.056603770000000005,0.1016949152542373,67.0
easyJet,GATWICK,LISBON,4,88,6,4.94382064,0.056179780000000006,0.06382978723404255,44.0
easyJet,BELFAST INTERNATIONAL,MANCHESTER,1,86,3,4.8314610799999995,0.05617977999999999,0.033707865168539325,38.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,1,86,3,4.8314610799999995,0.05617977999999999,0.033707865168539325,37.0
Blue Islands Limited,JERSEY,GUERNSEY,5,86,4,4.77777816,0.055555560000000004,0.044444444444444446,41.0
Blue Islands Limited,JERSEY,BRISTOL,7,35,1,1.9444446000000002,0.055555560000000004,0.027777777777777776,50.0
American Airlines,HEATHROW,NEW YORK (JF KENNEDY),7,124,2,6.888889440000001,0.055555560000000004,0.015873015873015872,27.0
Blue Islands Limited,BRISTOL,JERSEY,6,32,4,1.7777779200000001,0.055555560000000004,0.1111111111111111,40.0
Ryanair,STANSTED,MEMMINGEN ALLGAU,11,34,2,1.88888904,0.055555560000000004,0.05555555555555555,23.0
Ryanair,EDINBURGH,BELFAST INTERNATIONAL,10,54,0,3.0000002400000003,0.055555560000000004,0.0,29.0
British Airways,GATWICK,CORFU,8,36,0,2.00000016,0.05555556,0.0,68.0
Ryanair,LUTON,KRAKOW,1,36,0,2.00000016,0.05555556,0.0,50.0
Ryanair,MANCHESTER,KRAKOW,7,36,0,1.9999999500000003,0.055555554166666674,0.0,38.111111111111114
Air Canada,HEATHROW,TORONTO,11,90,0,4.9999995,0.05555555,0.0,29.0
Ryanair,MANCHESTER,PALMA DE MALLORCA,7,91,0,4.99999994,0.05494505428571429,0.0,57.714285714285715
Ryanair,MANCHESTER,COPENHAGEN,1,36,1,1.96969696,0.054713804444444444,0.02702702702702703,30.333333333333332
American Airlines,HEATHROW,NEW YORK (JF KENNEDY),12,90,2,4.891304700000001,0.054347830000000014,0.021739130434782608,45.0
Ryanair,STANSTED,NANTES,10,52,3,2.8125,0.054086538461538464,0.05454545454545454,28.25
Jet2.com,BIRMINGHAM,ALICANTE,7,37,0,2.00000022,0.05405406,0.0,34.0
easyJet,GATWICK,ANTALYA,11,37,0,2.00000022,0.05405406,0.0,21.0
easyJet,GATWICK,HURGHADA,6,36,1,1.9459458,0.05405405,0.02702702702702703,42.0
United Airlines,HEATHROW,CHICAGO (O'HARE),12,92,1,4.94623648,0.053763439999999996,0.010752688172043012,42.0
Aurigny Air Services,MANCHESTER,GUERNSEY,5,52,4,2.7857143599999996,0.05357142999999999,0.07142857142857142,16.0
Ryanair,MANCHESTER,MURCIA INTERNATIONAL,4,38,0,2.00000003,0.0526315797368421,0.0,20.210526315789473
Ryanair,MANCHESTER,PALMA DE MALLORCA,10,77,0,3.9999998999999997,0.051948050649350645,0.0,46.5974025974026
British Airways,GATWICK,FUNCHAL,3,39,0,2.0000003399999997,0.05128205999999999,0.0,41.0
British Airways,GATWICK,CORFU,7,39,3,2.0000000399999998,0.051282052307692304,0.07142857142857142,44.38461538461539
Wizz Air,GATWICK,ISTANBUL,9,39,0,1.99999995,0.05128205,0.0,45.0
easyJet,BRISTOL,NICE,7,37,2,1.8974358500000001,0.05128205,0.05128205128205128,68.0
Ryanair,STANSTED,LUXEMBOURG,7,39,0,1.99999995,0.05128205,0.0,57.0
Blue Islands Limited,BRISTOL,JERSEY,7,35,4,1.79487175,0.05128205,0.10256410256410256,48.0
British Airways,GATWICK,OPORTO (PORTUGAL),4,39,1,1.99999995,0.05128205,0.025,45.0
Loganair Ltd,ABERDEEN,MANCHESTER,1,52,7,2.6440679200000003,0.050847460000000004,0.11864406779661017,21.0
British Airways,HEATHROW,JOHANNESBURG,1,57,2,2.89830522,0.050847460000000004,0.03389830508474576,44.0
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,1,58,1,2.94915268,0.050847460000000004,0.01694915254237288,45.0
British Airways,LONDON CITY,NICE,6,79,0,3.9999998900000002,0.05063291,0.0,47.0
Wizz Air,LUTON,BACAU,9,39,1,1.9500000000000002,0.05,0.025,25.0
Ryanair,MANCHESTER,SANDEFJORD(TORP),2,40,0,2.0,0.05,0.0,26.0
Aurigny Air Services,SOUTHAMPTON,ALDERNEY,12,25,15,1.25,0.05,0.375,16.0
Air France,EDINBURGH,PARIS (CHARLES DE GAULLE),11,60,0,3.0,0.05,0.0,33.0
easyJet,LUTON,NICE,10,40,0,2.0,0.05,0.0,44.0
Wizz Air,LUTON,POZNAN,8,40,0,2.0,0.05,0.0,21.0
Ryanair,LEEDS BRADFORD,MALAGA,8,39,1,1.9500000000000002,0.05,0.025,25.0
Wizz Air,GATWICK,ISTANBUL,8,40,0,2.0,0.05,0.0,40.0
Jet2.com,MANCHESTER,ANTALYA,8,79,1,3.95,0.05,0.0125,90.0
Wizz Air,LUTON,WROCLAW,8,40,0,1.99999998,0.049999999499999996,0.0,25.925
Wizz Air,LUTON,BACAU,4,39,1,1.9459458,0.04989604615384616,0.025,23.153846153846153
Ryanair,MANCHESTER,CORK,1,58,2,2.8928572200000007,0.04987684862068967,0.03333333333333333,30.620689655172413
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),1,117,4,5.79130401,0.049498324871794876,0.03305785123966942,37.58974358974359
American Airlines,HEATHROW,MIAMI INTERNATIONAL,9,60,1,2.9508197999999997,0.049180329999999994,0.01639344262295082,67.0
easyJet,GATWICK,THIRA (SANTORINI),5,40,1,1.9512196000000002,0.04878049,0.024390243902439025,27.0
Wizz Air,LUTON,ISTANBUL,2,40,1,1.9512196000000002,0.04878049,0.024390243902439025,30.0
TUI Airways,BIRMINGHAM,PALMA DE MALLORCA,9,41,0,2.00000009,0.048780489999999996,0.0,32.0
British Airways,GATWICK,DUBROVNIK,8,41,0,1.99999968,0.04878048,0.0,49.0
American Airlines,HEATHROW,CHICAGO (O'HARE),12,62,0,2.99999958,0.04838709,0.0,49.0
United Airlines,HEATHROW,HOUSTON,1,60,2,2.9032254,0.04838709,0.03225806451612903,41.0
easyJet,BELFAST INTERNATIONAL,ALICANTE,7,40,1,1.9259258200000002,0.0481481455,0.024390243902439025,33.85
British Airways,GATWICK,FARO,8,63,0,3.00000015,0.04761905,0.0,27.0
American Airlines,HEATHROW,DALLAS/FORT WORTH,12,123,3,5.85714315,0.047619049999999996,0.023809523809523808,42.0
Aurigny Air Services,SOUTHAMPTON,ALDERNEY,8,62,1,2.9523810999999998,0.047619049999999996,0.015873015873015872,30.0
American Airlines,HEATHROW,PHILADELPHIA INTERNATIONAL,7,60,3,2.8571429999999998,0.047619049999999996,0.047619047619047616,42.0
Aurigny Air Services,SOUTHAMPTON,ALDERNEY,10,57,6,2.7142858499999996,0.04761904999999999,0.09523809523809523,21.0
